ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,MGMT_NUM,ASSET_TYPE,TYPE_DESCRIPTION,MINORTYPE,MANUFACTURER,COUNT_BABY_SWING,COUNT_SR_SWING,COUNT_HANDICAP_SWING,COUNT_TIRE_SWING,COUNT_SAUCER_SWING,COUNT_PONY_SWING,INCLUSIVE,EQUIPMENT_AGE_CLASS,POINT
METAL,EDG140,,CALGARY BOARD OF EDUCATION,CALGARY BOARD OF EDUCATION,SENIOR,ACTIVE,170140,9,MULTI PLAY COMPLEX,NO BREAKDOWN,,,,,,,,,SENIOR,POINT (-114.1422357 51.1290295)
,GRE001,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,,3,CLIMBER,WOODEN CLIMBER,,,,,,,,,,POINT (-114.2212388 51.0893493)
SPLASH-O-LATOR XX ACR 2,CRE876,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,17,WATER PARK TOY,NO BREAKDOWN,,,,,,,,,,POINT (-114.0605629 51.0573337)
,HAW016,,CALGARY PARKS SHARED,LEASE HOLDER,PARKOUR EQUIPMENT - STACKED LOG STEPS,ACTIVE,,18,PARKOUR EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-114.163365 51.1307867)
,SAD014,,CALGARY PARKS,DEVELOPER CONSTRUCTION,,INSTALLED,,1,SWING,NO BREAKDOWN,,2,2,,,,,,,POINT (-113.9606689 51.1391185)
,NEB880,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,15,SPRING TOY,MULTI BOUNCE,,,,,,,,,JUNIOR,POINT (-113.9372485 50.916852)
,MCT802,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,340802,15,SPRING TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-113.9729117 50.9144814)
,BED593,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,150593,15,SPRING TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-114.0866946 51.1294582)
XX ACR 2,DDG057,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,,15,SPRING TOY,ANIMAL,,,,,,,,,JUNIOR,POINT (-114.0136916 50.9581076)
,SHN443,,CALGARY PARKS,CALGARY PARKS,JUNIOR; PLAY PANEL PUZZLE BOX,ACTIVE,,4,STATIONARY TOY,PLAY PANEL,GAME TIME,,,,,,,,JUNIOR,POINT (-114.0857629 50.9119446)
,SHS001,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,1,SWING,NO BREAKDOWN,,2,2,,,,,,,POINT (-114.0804201 50.9236129)
,GRE012,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,4,STATIONARY TOY,PLAY PANEL,,,,,,,,NO,,POINT (-114.2129962 51.0877092)
,CNS011,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,15,SPRING TOY,MULTI BOUNCE,,,,,,,,NO,,POINT (-113.940481 51.1597521)
,CAR006,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,5,SPINNING TOY,CUP BOWL OR TUB,,,,,,,,,,POINT (-114.0829168 51.1784986)
,BRA097,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,,15,SPRING TOY,VEHICLE,HENDERSON MANUFACTURER,,,,,,,,,POINT (-114.1108961 50.9539292)
,REN791,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,450791,5,SPINNING TOY,SPINNING POLE,PLAYWORLD,,,,,,,,JUNIOR,POINT (-114.0441657 51.0598135)
DUCK. ACR 2,EAU120,,CALGARY PARKS,CALGARY PARKS,SENIOR,ACTIVE,410120,5,SPINNING TOY,CUP BOWL OR TUB,,,,,,,,,SENIOR,POINT (-114.0707943 51.0559544)
,SIL269,,CALGARY PARKS,CALGARY PARKS,JUNIOR/SENIOR,ACTIVE,120269,7,TEETER TOTTER SEESAW,FULCRUM,,,,,,,,,COMBINED,POINT (-114.2040818 51.1125698)
2024-01-29: MOVED TO PG EQUIPMENT AS PER A KOCHANCZYK. INFRASTRUCTIRE LEAD,DOV769,,CALGARY PARKS,CALGARY PARKS,STAIR CLIMBER,ACTIVE,,16,FITNESS EQUIPMENT,NO BREAKDOWN,,,,,,,,,,POINT (-113.9874527 51.0301217)
,HAW162,,CALGARY PARKS,CALGARY PARKS,JUNIOR,ACTIVE,110163,5,SPINNING TOY,SPINNING POLE,BELAIR,,,,,,,NO,JUNIOR,POINT (-114.1755631 51.1272094)
